FID,FID_1,city,holc_grade,holc_id,name,geometry_k,uf_unique_,Shape__Are,Shape__Len,Shape__Area,Shape__Length
1,1,Los Angeles,C,C126, ,75f8b05578ad213f,7116,0.000380766,0.09288017,5691581.551,11670.08574
2,2,Los Angeles,C,C96, ,7e03bec78bba4ad,7180,0.000449806,0.134930604,6732524.727,15776.85477
3,3,Los Angeles,A,A17, ,48ac8696e6f121d4,7403,7.17E-05,0.059011808,1073208.137,7046.777877
4,4,Los Angeles,D,D45, ,b2a2b0ef53407869,7093,0.000371438,0.110385252,5543944.695,13339.12939
5,5,Los Angeles,C,C19, ,966fb3f0576c47af,7183,0.000275593,0.126959033,4126100.094,15364.66944
6,6,Los Angeles,C,C68, ,5e34822fea2f683a,7252,0.000526692,0.117884593,7872481.113,14357.20954
7,7,Los Angeles,A,A9, ,2741da5e55cd9788,7321,0.000275916,0.10941589,4133555.738,13415.8566
8,8,Los Angeles,B,B16, ,2c87c648222ba6f,7273,0.000326554,0.186266244,4891851.605,22944.4845
9,9,Los Angeles,D,D70, ,5e3a31f3211502c6,7071,0.000540048,0.121716325,8052802.484,14632.91334
10,10,Los Angeles,B,B43, ,9238aa9d662e7a74,7332,8.53E-05,0.045151966,1275823.262,5433.757752
11,11,Los Angeles,C,C132, ,30c750194c9461c6,7031,2.84E-05,0.024691754,424221.0352,2985.145866
12,12,Los Angeles,D,D47, ,6c65d3f15234ed6b,7257,7.99E-05,0.047390801,1194523.828,5817.549625
13,13,Los Angeles,A,A49, ,70bcaaef0a062e75,7102,3.49E-05,0.030094545,521238.0195,3596.017104
14,14,Los Angeles,D,D16, ,38dde6c99e5da2c8,7346,0.000673744,0.264523541,10080867.47,32281.30869
15,15,Los Angeles,C,C122, ,814d3f67ee315675,7129,0.000157052,0.05797732,2348391.152,7021.352329
16,16,Los Angeles,C,C41, ,f8e89c1c1403e2ab,7349,0.000269088,0.12845391,4030021.93,15444.94932
17,17,Los Angeles,C,C37, ,c0977d6b1565438f,7170,2.89E-05,0.028498258,432200.9805,3544.560467
18,18,Los Angeles,B,B71, ,4b882916d4841ffd,7078,0.000101667,0.062522436,1520961.613,7931.516718
19,19,Los Angeles,A,A39, ,b56b4654a127db64,438,6.12E-05,0.03831979,915958.4102,4846.448434
20,20,Los Angeles,C,C127, ,d90173698f022896,7371,0.000973972,0.190454152,14569751.98,22672.53339
21,21,Los Angeles,C,C57, ,4c8f1363b9f937c2,7357,0.000108809,0.094071515,1628082.535,11360.79343
22,22,Los Angeles,C,C138, ,20b0bf15641857c2,7392,0.001132254,0.171943377,16901744.79,20705.23111
23,23,Los Angeles,C,C141, ,e2aaaeb841fedb7,7155,0.000246188,0.128503395,3678840.215,15672.01779
24,24,Los Angeles,B,B69, ,c1ea3b082328363c,7408,0.000143347,0.061507975,2145515.695,7462.110576
25,25,Los Angeles,A,A46, ,bbcc5e1a4992a37b,7163,0.000200591,0.080562213,3000459.199,9903.846819
26,26,Los Angeles,C,C148, ,8ac3b89d66f99aa,430,0.00045462,0.177218765,6785135.141,21827.24706
27,27,Los Angeles,A,A41, ,9f937f4bd7117484,7201,0.000146511,0.066428617,2192942.168,8177.139516
28,28,Los Angeles,C,C123, ,c0a25a8ea591d55e,7137,8.97E-05,0.042670226,1340862.371,5409.443447
29,29,Los Angeles,C,C51, ,7bfb7063feea32a0,7410,6.83E-05,0.057893052,1022228.801,6938.822942
30,30,Los Angeles,C,C134, ,ce0e80f9a7fc2129,7381,0.000189816,0.096129888,2836543.566,11933.19069
31,31,Los Angeles,D,D10, ,52b0a79cb01c33ba,446,2.27E-05,0.01933284,339275.9961,2453.714772
32,32,Los Angeles,C,C82, ,9f4a91e4d5df338d,7215,0.000189438,0.107159095,2834059.852,13192.98493
33,33,Los Angeles,B,B98, ,ca9980d9edb9acb5,6530,0.000199256,0.057592844,2980283.453,7023.536731
34,34,Los Angeles,B,B94, ,336872b198956f3,6475,6.94E-05,0.038143376,1037652.727,4475.183327
35,35,Los Angeles,D,D49, ,df21fd4b25db4396,7144,5.87E-05,0.032767267,877032.9336,4037.683813
36,36,Los Angeles,B,B101, ,7417a1b1fb421823,7157,0.000430763,0.114638614,6440323.004,14124.53751
37,37,Los Angeles,D,D38, ,743cfdd152da48f5,7191,0.000533203,0.234415569,7978044.727,28927.72514
38,38,Los Angeles,D,D17, ,1bc4265fb7ba0499,7411,5.14E-05,0.035255505,769138.875,4305.486735
39,39,Los Angeles,C,C158, ,fbda56ba1446429b,7088,0.000130457,0.070851272,1947661.559,8668.415651
